Home,Away,Round,Date,Time,WIN,minuto,evento,Yellow_Away,Yellow_Home,Goal_Away,Goal_Home,Red_Card_Away,Red_Card_Home,Own_Home,Own_Away,Penalty_Missed_Home,Penalty_Missed_Away,Var_Home,Var_Away
Birmingham,West Ham,38,11.05.2003,16:00,Draw,27,Yellow_Away,1,0,0,0,0,0,0,0,0,0,0,0
Birmingham,West Ham,38,11.05.2003,16:00,Draw,57,Yellow_Home,1,1,0,0,0,0,0,0,0,0,0,0
Birmingham,West Ham,38,11.05.2003,16:00,Draw,66,Goal_Away,1,1,1,0,0,0,0,0,0,0,0,0
Birmingham,West Ham,38,11.05.2003,16:00,Draw,80,Goal_Home,1,1,1,1,0,0,0,0,0,0,0,0
Birmingham,West Ham,38,11.05.2003,16:00,Draw,88,Goal_Home,1,1,1,2,0,0,0,0,0,0,0,0
Birmingham,West Ham,38,11.05.2003,16:00,Draw,89,Goal_Away,1,1,2,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,10,Goal_Home,0,0,0,1,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,17,Yellow_Home,0,1,0,1,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,19,Yellow_Away,1,1,0,1,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,21,Goal_Home,1,1,0,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,29,Yellow_Home,1,2,0,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,61,Goal_Away,1,2,1,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,67,Yellow_Home,1,3,1,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,76,Yellow_Away,2,3,1,2,0,0,0,0,0,0,0,0
Bolton,Middlesbrough,38,11.05.2003,16:00,Home,78,Red_Card_Away,2,3,1,2,1,0,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,21,Yellow_Home,0,1,0,0,0,0,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,31,Red_Card_Home,0,1,0,0,0,1,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,33,Goal_Away,0,1,1,0,0,1,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,55,Yellow_Away,1,1,1,0,0,1,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,58,Yellow_Home,1,2,1,0,0,1,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,61,Yellow_Away,2,2,1,0,0,1,0,0,0,0,0,0
Charlton,Fulham,38,11.05.2003,16:00,Away,65,Yellow_Away,3,2,1,0,0,1,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,11,Goal_Away,0,0,1,0,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,14,Goal_Home,0,0,1,1,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,27,Goal_Home,0,0,1,2,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,45,Yellow_Home,0,1,1,2,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,48,Yellow_Home,0,2,1,2,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,62,Yellow_Home,0,3,1,2,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,85,Yellow_Away,1,3,1,2,0,0,0,0,0,0,0,0
Chelsea,Liverpool,38,11.05.2003,16:00,Home,90,Red_Card_Away,1,3,1,2,1,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,8,Goal_Home,0,0,0,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,28,Yellow_Home,0,1,0,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,43,Goal_Away,0,1,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,45,Yellow_Away,1,1,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,50,Yellow_Away,2,1,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,54,Yellow_Home,2,2,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,60,Yellow_Home,2,3,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,67,Yellow_Away,3,3,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,77,Yellow_Home,3,4,1,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,78,Goal_Away,3,4,2,1,0,0,0,0,0,0,0,0
Everton,Manchester Utd,38,11.05.2003,16:00,Away,78,Yellow_Home,3,5,2,1,0,0,0,0,0,0,0,0
Leeds,Aston Villa,38,11.05.2003,16:00,Home,8,Goal_Home,0,0,0,1,0,0,0,0,0,0,0,0
Leeds,Aston Villa,38,11.05.2003,16:00,Home,40,Goal_Away,0,0,1,1,0,0,0,0,0,0,0,0
Leeds,Aston Villa,38,11.05.2003,16:00,Home,81,Goal_Home,0,0,1,2,0,0,0,0,0,0,0,0
Leeds,Aston Villa,38,11.05.2003,16:00,Home,90,Goal_Home,0,0,1,3,0,0,0,0,0,0,0,0
Leeds,Aston Villa,38,11.05.2003,16:00,Home,90,Yellow_Away,1,0,1,3,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,17,Yellow_Home,0,1,0,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,28,Yellow_Away,1,1,0,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,34,Goal_Away,1,1,1,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,55,Yellow_Away,2,1,1,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,63,Yellow_Away,3,1,1,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,71,Yellow_Home,3,2,1,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,76,Yellow_Home,3,3,1,0,0,0,0,0,0,0,0,0
Manchester City,Southampton,38,11.05.2003,16:00,Away,79,Yellow_Away,4,3,1,0,0,0,0,0,0,0,0,0
Sunderland,Arsenal,38,11.05.2003,16:00,Away,7,Goal_Away,0,0,1,0,0,0,0,0,0,0,0,0
Sunderland,Arsenal,38,11.05.2003,16:00,Away,39,Goal_Away,0,0,2,0,0,0,0,0,0,0,0,0
Sunderland,Arsenal,38,11.05.2003,16:00,Away,78,Goal_Away,0,0,3,0,0,0,0,0,0,0,0,0
Sunderland,Arsenal,38,11.05.2003,16:00,Away,85,Yellow_Home,0,1,3,0,0,0,0,0,0,0,0,0
Sunderland,Arsenal,38,11.05.2003,16:00,Away,88,Goal_Away,0,1,4,0,0,0,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,5,Goal_Away,0,0,1,0,0,0,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,23,Yellow_Away,1,0,1,0,0,0,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,31,Red_Card_Home,1,0,1,0,0,1,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,35,Yellow_Home,1,1,1,0,0,1,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,45,Goal_Away,1,1,2,0,0,1,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,48,Goal_Away,1,1,3,0,0,1,0,0,0,0,0,0
Tottenham,Blackburn,38,11.05.2003,16:00,Away,60,Goal_Away,1,1,4,0,0,1,0,0,0,0,0,0
West Brom,Newcastle,38,11.05.2003,16:00,Draw,43,Goal_Away,0,0,1,0,0,0,0,0,0,0,0,0
West Brom,Newcastle,38,11.05.2003,16:00,Draw,57,Goal_Home,0,0,1,1,0,0,0,0,0,0,0,0
West Brom,Newcastle,38,11.05.2003,16:00,Draw,72,Goal_Home,0,0,1,2,0,0,0,0,0,0,0,0
West Brom,Newcastle,38,11.05.2003,16:00,Draw,80,Goal_Away,0,0,2,2,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,5,Yellow_Away,1,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,9,Goal_Home,1,0,0,1,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,16,Goal_Home,1,0,0,2,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,19,Goal_Home,1,0,0,3,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,23,Goal_Home,1,0,0,4,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,26,Goal_Home,1,0,0,5,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,35,Goal_Away,1,0,1,5,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,47,Goal_Home,1,0,1,6,0,0,0,0,0,0,0,0
Arsenal,Southampton,33,07.05.2003,20:45,Home,73,Yellow_Home,1,1,1,6,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,5,Goal_Away,0,0,1,0,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,31,Goal_Home,0,0,1,1,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,48,Goal_Away,0,0,2,1,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,63,Goal_Home,0,0,2,2,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,65,Yellow_Home,0,1,2,2,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,66,Yellow_Away,1,1,2,2,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,88,Goal_Away,1,1,3,2,0,0,0,0,0,0,0,0
Arsenal,Leeds,37,04.05.2003,17:05,Away,90,Yellow_Home,1,2,3,2,0,0,0,0,0,0,0,0
Southampton,Bolton,37,03.05.2003,18:30,Draw,51,Yellow_Home,0,1,0,0,0,0,0,0,0,0,0,0
